ticker,date,open,high,low,close,dollar_volume,volume,prev_close,gap_up,intraday_gain,sum_gap_intraday,exchange,shares_outstanding,sector,market_cap,dayofweek
CREX,2020-04-28,1,4.3600001335144,0.949999988079071,4.07999992370606,270326107,66256400,1,0,336.00001335144,336.00001335144,nasdaq,9800000,Technology,9800000,Tue
XTNT,2020-05-21,2.76999998092651,3.5,1.51999998092651,1.74000000953674,55746120,32038000,0.670000016689301,313.432822675741,26.3537914837572,339.786614159499,Amex,13220000,Healthcare,8857400,Thur
HUGE,2020-06-03,14,14,7.05000019073486,7.3899998664856,116798948,15805000,3.09999990463257,351.612917119085,0,351.612917119085,nasdaq,8700000,Healthcare,26969999,Wed
IMRN,2020-06-09,10,28.9899997711182,6.59999990463257,20,1514856000,75742800,2.09999990463257,376.190497815745,189.899997711182,566.090495526927,nasdaq,177220000,Healthcare,372161983,Tue
JFIN,2020-06-10,10.539999961853,30,5.38000011444092,5.80000019073486,233073588,40185100,2.95000004768372,257.288128524908,184.629982054817,441.918110579725,nasdaq,100100000,Communication Services,295295005,Wed
WAFU,2020-06-11,11,15.3900003433228,6.01000022888184,7.15000009536743,464889431,65019500,2.22000002861023,395.495489109802,39.9090940302068,435.404583140009,nasdaq,4380000,Consumer Defensive,9723600,Thur
CHNR,2020-06-12,4.80999994277954,6.03999996185303,1.37000000476837,1.47000002861023,70237483,47780600,0.949999988079071,406.315789803904,25.5717262724687,431.887516076373,nasdaq,24910000,Industrials,23664500,Fri
UONE,2020-06-15,2.1800000667572,8.38000011444092,1.9099999666214,6.53999996185303,163895669,25060500,1.8400000333786,18.4782623484139,284.403663202926,302.88192555134,nasdaq,1580000,Communication Services,2907200,Mon
BTX,2020-06-16,2.53999996185303,10.3999996185303,2.25999999046326,9,55601100,6177900,2.5,1.59999847412111,309.448810028449,311.04880850257,nyse,2936769,Healthcare,7341922,Tue
UONE,2020-06-16,6.76999998092651,40,6.09999990463257,27.1900005340576,1232936012,45345200,6.53999996185303,3.51681988402212,490.841951443045,494.358771327067,nasdaq,1580000,Communication Services,10333200,Tue
COHN,2020-06-17,3.82662851021678,16.7803430031399,3.81775024182298,7.546715259552,47551098,6300900,3.64905905723572,4.8661709825978,338.515078177508,343.381249160106,Amex,1250000,Financial Services,4561324,Wed
CARV,2020-06-17,16,22.9699993133545,7.80000019073486,8.39000034332275,496702283,59201700,2.41000008583069,563.90039129335,43.5624957084656,607.462887001815,nasdaq,3700000,Financial Services,8917000,Wed
COGT,2020-07-06,2.79999995231628,10.7600002288818,2.40400004386902,8.80000019073486,144561783,16427475,1.77999997138977,57.3033706360191,284.285729004412,341.589099640432,nasdaq,31161941,Healthcare,55468254,Mon
EQ,2020-07-13,9,27.0499992370605,7.34999990463257,26.5,2667410500,100657000,3.19000005722046,182.131656381284,200.555547078451,382.687203459735,nasdaq,17680000,Healthcare,56399201,Mon
KODK,2020-07-29,18.4300003051758,60,17.5,33.2000007629395,9163867531,276020100,7.94000005722046,132.115871188388,225.556153046562,357.672024234951,nyse,43730000,Industrials,347216203,Wed
TAOP,2020-07-30,4.1100001335144,15,2.60999989509583,8.80000019073486,966541861,109834300,2.03999996185303,101.470598547517,264.963491793702,366.434090341219,nasdaq,15458605,Technology,31535554,Thur
PRPO,2020-07-30,1.37000000476837,8,1.26999998092651,7,680420300,97202900,1.23000001907349,11.3821124816195,483.94160380697,495.32371628859,nasdaq,14620000,Healthcare,17982600,Thur
SSNT,2020-08-04,9.50212754446969,11.3957602460759,4.50056118736256,4.58547735214233,168131113,36666000,2.30972194671631,311.397032356155,19.9285127751029,331.325545131257,nasdaq,4500000,Technology,10393749,Tue
MCRB,2020-08-10,20.1299991607666,33,18,22.7000007629395,2165811613,95410200,4.6399998664856,333.836201293113,63.9344330640463,397.770634357159,nasdaq,76260000,Healthcare,353846390,Mon
SUNW,2020-09-23,0.777999997138977,4.57000017166138,0.732999980449677,1.1599999666214,128204356,110521000,0.771000027656555,0.90790781210452,487.403623196289,488.311531008394,nasdaq,16629999,Technology,12821730,Wed
SPI,2020-09-23,3.53999996185303,46.6699981689453,3.29999995231628,14,4876225200,348301800,1.04799997806549,237.786262971831,1218.36154440283,1456.14780737467,nasdaq,14840000,Technology,15552320,Wed
SUNW,2020-09-24,4.59999990463257,8.5,3.29999995231628,3.9300000667572,1052477991,267806100,1.1599999666214,296.55172732724,84.7826125265746,381.334339853815,nasdaq,16629999,Technology,19290798,Thur
OXBR,2020-09-28,1.54999995231628,9.61999988555908,1.54999995231628,2.95000004768372,414056107,140358000,1.07000005245209,44.8598015265696,520.645173000372,565.504974526941,nasdaq,5730000,Financial Services,6131100,Mon
USEG,2020-09-29,17.0186954707657,18.342262222568,6.46967275340425,6.68697452545166,104053336,15560600,4.26702070236206,298.842580288978,7.77713399993491,306.619714288913,nasdaq,1400000,Energy,5973829,Tue
APM,2020-09-29,8.22000026702881,14.2299995422363,4.67999982833862,4.76000022888184,295714062,62124800,1.22000002861023,573.770497890289,73.1143440385786,646.884841928867,nasdaq,7950000,Healthcare,9699000,Tue
RAVE,2020-10-07,1.98000001907349,2.35999989509583,0.9200000166893,1.16999995708466,78250299,66880600,0.509999990463257,288.235305117351,19.191912745544,307.427217862895,nasdaq,15470000,Consumer Cyclical,7889700,Wed
KXIN,2020-10-14,0.53600001335144,2.19000005722046,0.53600001335144,1.98000001907349,119581903,60394900,0.540000021457672,-0.740742212460306,308.582090050161,307.841347837701,nasdaq,60470000,Consumer Cyclical,32653801,Wed
KXIN,2020-10-19,3.29999995231628,13.3999996185303,2.75,8.14999961853027,1917617485,235290500,2.0699999332428,59.4202926927928,306.060600368335,365.480893061128,nasdaq,60470000,Consumer Cyclical,125172896,Mon
CYTO,2020-12-01,1.46000003814697,6.59999990463257,1.32000005245209,5.23000001907349,1598840817,305705700,1.11000001430511,31.5315332730843,352.054776177216,383.5863094503,nasdaq,4125949,Healthcare,4579803,Tue
CRIS,2020-12-08,5.46999979019165,7.90000009536743,5.19999980926514,6.55000019073486,2135686512,326059000,1.44000005722046,279.861081446764,44.4241389100792,324.285220356843,nasdaq,58820000,Healthcare,84700803,Tue
XBIO,2020-12-09,3.86999988555908,5.84999990463257,3.03999996185303,3.17000007629395,582208871,183662100,1.08000004291534,258.333308498066,51.1627927034795,309.496101201545,nasdaq,6300000,Healthcare,6804000,Wed
GLSI,2020-12-09,16.0699996948242,158.070007324219,12.1499996185303,57.0999984741211,1095931691,19193200,5.19899988174439,209.097904603767,883.634165065538,1092.73206966931,nasdaq,12020000,Healthcare,62491979,Wed
YGMZ,2020-12-17,4.30000019073486,18.8400001525879,4.30000019073486,17.5,418969250,23941100,4.03999996185303,6.43564929051587,338.139518997746,344.575168288262,nasdaq,12000000,Industrials,48480000,Thur
SCPS,2020-12-17,20.8400001525879,47.8600006103516,20.7900009155273,33.9599990844727,322762623,9504200,5.92000007629395,252.02702506778,129.65451180387,381.681536871651,nasdaq,21094264,Healthcare,124878044,Thur
MTMT,2020-12-28,1.18627302419102,7.52097047841944,1.11114230897727,2.73831343650818,640327214,233840000,0.531845688819885,123.048348257415,533.99995827675,657.048306534165,nyse,1545884,Industrials,822172,Mon
RHE,2020-12-28,1.67999994754791,15.7700004577637,1.62000000476837,3.14000010490417,67544856,21511100,1.62000000476837,3.70370016067499,838.690532745622,842.394232906297,Amex,1690000,Healthcare,2737800,Mon
UUU,2020-12-29,12.289999961853,13.9399995803833,4.80000019073486,5,158676500,31735300,3.07999992370605,299.025982671613,13.425546164782,312.451528836395,Amex,2310000,Industrials,7114800,Tue
TROO,2020-12-30,1.04999995231628,4.21000003814697,1,1.72000002861023,17828660,10365500,1.02999997138977,1.94174577495647,300.952402793903,302.894148568859,nasdaq,96098647,Technology,98981604,Wed
RSLS,2021-01-20,3.21000003814697,10.7700004577637,2.70000004768372,8.27999973297119,3692361553,445937400,1.61000001430511,99.3788825854407,235.51402896496,334.892911550401,nasdaq,7770698,Healthcare,12510824,Wed
BBIG,2021-01-21,4.06122398376465,6.39455795288086,3.01360511779785,3.10204100608826,980026140,315929460,1.04761898517609,287.662312465827,57.4539591621655,345.116271627993,nasdaq,14270000,Consumer Cyclical,14949523,Thur
AMC,2021-01-27,20.3400001525879,20.3600006103516,11.0100002288818,19.8999996185303,24324615284,1222342500,4.96000003814697,310.080645083761,0.0983306667336658,310.178975750494,nyse,287280000,Communication Services,1424908811,Wed
CENN,2021-01-27,5.2649998664856,22.5,5.17500019073486,20.7000007629395,3033585112,146550000,5.87550020217896,-10.390610410786,327.350438187548,316.959827776762,nasdaq,234001906,Consumer Cyclical,1374878246,Wed
KOSS,2021-01-27,17.5200004577637,69.7900009155273,14.1899995803833,58,1454263000,25073500,10,75.2000045776367,298.344743676083,373.54474825372,nasdaq,7410000,Technology,74100000,Wed
GBR,2021-01-28,2.29999995231628,30.9899997711182,2.25999999046326,25,2389675000,95587000,2.35999989509583,-2.54237056977093,1247.39132233063,1244.84895176086,Amex,5130000,Real Estate,12106799,Thur
AACG,2021-02-04,3.67000007629394,19.75,3.45000004768372,14.3000001907349,4516544950,315842300,1.36000001430511,169.85294394788,438.147127777284,608.000071725164,nasdaq,62700000,Consumer Defensive,85272001,Thur
AAME,2021-02-05,3.71002236091256,15.7997488251884,3.56162137212531,5.14456415176392,575742579,111912800,2.36452078819275,56.903774305499,325.866673787435,382.770448092934,nasdaq,20410000,Financial Services,48259869,Fri
